지표명,구분유형,sex,agegroup,값,단위,se,n,출처,통합연도
현재흡연율,연령대,,50-59,20.6,%,0.008806916115014586,3109.0,KNHANES 제9기,2022+2023+2024
현재흡연율,연령대,,60-69,15.1,%,0.006828917710528512,3689.0,KNHANES 제9기,2022+2023+2024
현재흡연율,연령대,,70+,6.7,%,0.004797873464485414,3413.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,19-29,27.4,%,0.016236291493480694,877.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,30-39,28.1,%,0.016900022048976393,885.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,40-49,38.2,%,0.016390721240881995,1153.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,50-59,36.2,%,0.015138350424242145,1285.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,60-69,27.8,%,0.01207285048611081,1595.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,1.0,70+,14.5,%,0.010773599615565172,1501.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,19-29,7.4,%,0.009126656470393228,1038.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,30-39,5.6,%,0.007512310194528263,1081.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,40-49,5.1,%,0.006289086915589842,1586.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,50-59,4.9,%,0.0060140411692586535,1824.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,60-69,2.9,%,0.004011396117694815,2094.0,KNHANES 제9기,2022+2023+2024
현재흡연율,성별×연령대,2.0,70+,1.0,%,0.002274557739776674,1912.0,KNHANES 제9기,2022+2023+2024
월간음주율,전체,,,60.0,%,0.005150908241295193,14989.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별,1.0,,69.3,%,0.006496761670679453,6992.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별,2.0,,49.6,%,0.006543681051658961,7997.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,19-29,65.5,%,0.012739093212889678,1847.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,30-39,64.7,%,0.013582685716913118,1912.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,40-49,67.4,%,0.010459244343977199,2651.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,50-59,60.5,%,0.010474675676481514,2908.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,60-69,53.6,%,0.009627475579283262,3208.0,KNHANES 제9기,2022+2023+2024
월간음주율,연령대,,70+,39.0,%,0.010923355687594968,2463.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,19-29,67.1,%,0.017436540747604878,840.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,30-39,70.3,%,0.018862829852339114,870.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,40-49,77.4,%,0.012978530732433784,1124.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,50-59,71.8,%,0.013843375848190101,1263.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,60-69,68.0,%,0.01302211838610881,1536.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,1.0,70+,54.4,%,0.015577091323659715,1359.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,19-29,63.8,%,0.017494978406298958,1007.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,30-39,58.2,%,0.01671190672589634,1042.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,40-49,57.0,%,0.013979601565884545,1527.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,50-59,48.1,%,0.013761727470710755,1645.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,60-69,37.1,%,0.012589642946756388,1672.0,KNHANES 제9기,2022+2023+2024
월간음주율,성별×연령대,2.0,70+,21.4,%,0.014063087977080568,1104.0,KNHANES 제9기,2022+2023+2024
평균BMI,전체,,,24.23,kg/㎡,0.03976601354876613,16937.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별,1.0,,25.02,kg/㎡,0.05239152412381374,7355.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별,2.0,,23.44,kg/㎡,0.05246249918060496,9582.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,19-29,23.81,kg/㎡,0.12715810446413237,1921.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,30-39,24.46,kg/㎡,0.11420249390962793,1979.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,40-49,24.51,kg/㎡,0.08163392712386124,2763.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,50-59,24.34,kg/㎡,0.07405932255624124,3145.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,60-69,24.2,kg/㎡,0.060112617307944385,3705.0,KNHANES 제9기,2022+2023+2024
평균BMI,연령대,,70+,23.94,kg/㎡,0.06514049817831083,3424.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,19-29,25.16,kg/㎡,0.18661750433554428,881.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,30-39,25.74,kg/㎡,0.15256163532515993,887.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,40-49,25.74,kg/㎡,0.11343563850879111,1171.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,50-59,25.07,kg/㎡,0.10145012858664533,1302.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,60-69,24.29,kg/㎡,0.08337399950781915,1595.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,1.0,70+,23.61,kg/㎡,0.08327184645392942,1519.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,19-29,22.3,kg/㎡,0.1445102033399542,1040.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,30-39,23.04,kg/㎡,0.1552445187762798,1092.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,40-49,23.22,kg/㎡,0.10113122491417255,1592.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,50-59,23.61,kg/㎡,0.09467278208331761,1843.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,60-69,24.12,kg/㎡,0.08663443417251145,2110.0,KNHANES 제9기,2022+2023+2024
평균BMI,성별×연령대,2.0,70+,24.19,kg/㎡,0.08810537421955804,1905.0,KNHANES 제9기,2022+2023+2024
