person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100218,4,1.0,0,29.0,1.0,4.0,,1.0,1.0,200.0,4.0,4.0
100219,2,25.0,1,20.0,2.0,2.0,,4.0,2.0,110.0,3.0,3.0
100219,3,4.0,1,21.0,2.0,2.0,2.0,8.0,2.0,,3.0,3.0
100219,4,5.0,0,22.0,2.0,2.0,0.0,1.0,2.0,50.0,3.0,3.0
100220,1,19.0,1,20.0,2.0,2.0,,1.0,2.0,40.0,3.0,3.0
100220,3,5.0,0,22.0,2.0,2.0,,2.0,2.0,48.0,3.0,4.0
100221,1,6.0,0,25.0,2.0,2.0,,2.0,1.0,180.0,4.0,3.0
100222,1,11.0,1,27.0,1.0,4.0,,7.0,2.0,195.0,4.0,4.0
100222,2,13.0,1,28.0,1.0,4.0,0.0,4.0,1.0,200.0,4.0,4.0
100222,4,7.0,0,30.0,1.0,4.0,0.0,4.0,1.0,280.0,4.0,4.0
100223,1,8.0,0,23.0,1.0,2.0,,2.0,2.0,180.0,4.0,3.0
100224,1,13.0,1,28.0,1.0,4.0,,2.0,1.0,300.0,4.0,5.0
100224,2,21.0,1,29.0,1.0,4.0,1.0,5.0,1.0,300.0,3.0,4.0
100225,4,68.0,0,29.0,2.0,2.0,,6.0,1.0,270.0,4.0,4.0
100227,4,52.0,0,30.0,2.0,3.0,,2.0,1.0,310.0,4.0,4.0
100229,1,2.0,0,20.0,1.0,2.0,,3.0,2.0,50.0,3.0,3.0
100230,2,25.0,0,27.0,2.0,4.0,,3.0,1.0,170.0,4.0,3.0
100231,4,29.0,0,24.0,2.0,3.0,,2.0,1.0,160.0,3.0,4.0
100232,3,53.0,0,27.0,1.0,2.0,,2.0,6.0,,4.0,4.0
100236,4,25.0,0,28.0,2.0,2.0,,1.0,5.0,460.0,4.0,4.0
100237,4,49.0,0,30.0,2.0,2.0,,1.0,5.0,350.0,4.0,4.0
100238,4,21.0,0,30.0,1.0,5.0,,9.0,1.0,500.0,4.0,4.0
100239,4,87.0,0,29.0,2.0,3.0,,3.0,1.0,300.0,4.0,4.0
100240,4,120.0,0,29.0,1.0,2.0,,1.0,1.0,250.0,3.0,4.0
100241,4,109.0,0,30.0,1.0,2.0,,2.0,1.0,340.0,4.0,4.0
100242,3,41.0,0,22.0,1.0,2.0,,1.0,5.0,130.0,4.0,4.0
100243,4,9.0,0,24.0,1.0,4.0,,1.0,5.0,260.0,4.0,4.0
100244,2,6.0,1,20.0,2.0,2.0,,1.0,2.0,159.2008,2.0,2.0
100244,3,7.0,0,21.0,2.0,2.0,6.0,1.0,2.0,159.89600000000002,2.0,3.0
100245,3,38.0,0,24.0,2.0,2.0,,1.0,1.0,170.0,3.0,4.0
100246,4,97.0,0,28.0,2.0,2.0,,1.0,1.0,230.0,4.0,5.0
100247,4,85.0,0,27.0,2.0,2.0,,1.0,1.0,241.0,5.0,5.0
100248,4,5.0,0,22.0,2.0,2.0,,1.0,1.0,241.0,5.0,4.0
100251,4,75.0,0,26.0,2.0,2.0,,2.0,1.0,200.0,4.0,4.0
100252,4,27.0,0,27.0,2.0,2.0,,9.0,1.0,240.0,4.0,4.0
100253,4,5.0,0,24.0,2.0,2.0,,2.0,2.0,241.0,3.0,4.0
100254,4,86.0,0,28.0,2.0,2.0,,3.0,1.0,241.0,4.0,4.0
100255,4,51.0,0,31.0,1.0,2.0,,1.0,1.0,214.0,3.0,3.0
100256,4,110.0,0,30.0,2.0,2.0,,2.0,1.0,241.0,3.0,4.0
100257,4,69.0,0,28.0,2.0,2.0,,2.0,1.0,241.0,4.0,4.0
100258,4,12.0,0,23.0,1.0,2.0,,2.0,1.0,241.0,4.0,4.0
100259,4,73.0,0,30.0,1.0,2.0,,1.0,2.0,241.0,3.0,4.0
100260,4,75.0,0,30.0,2.0,4.0,,3.0,1.0,350.0,4.0,4.0
100261,4,61.0,0,26.0,2.0,2.0,,3.0,1.0,241.0,3.0,4.0
100263,4,5.0,0,27.0,1.0,4.0,,3.0,1.0,266.0,4.0,4.0
100265,4,114.0,0,29.0,2.0,2.0,,2.0,1.0,266.0,3.0,4.0
100266,4,109.0,0,30.0,1.0,2.0,,2.0,1.0,266.0,3.0,4.0
100267,2,41.0,1,28.0,2.0,5.0,,1.0,1.0,156.42,3.0,2.0
100267,4,5.0,0,30.0,2.0,5.0,,2.0,1.0,266.0,3.0,4.0
100268,4,73.0,0,29.0,2.0,3.0,,6.0,1.0,250.0,5.0,4.0
100269,4,82.0,0,31.0,2.0,4.0,,2.0,1.0,267.0,4.0,4.0
100270,4,65.0,0,30.0,1.0,4.0,,2.0,1.0,267.0,4.0,4.0
100271,4,2.0,0,25.0,2.0,2.0,,2.0,1.0,267.0,3.0,4.0
100272,4,72.0,0,30.0,1.0,4.0,,3.0,1.0,320.0,3.0,4.0
100273,4,86.0,0,31.0,2.0,4.0,,2.0,1.0,267.0,4.0,4.0
100274,4,3.0,0,27.0,1.0,4.0,,2.0,1.0,267.0,4.0,4.0
100276,4,70.0,0,30.0,1.0,4.0,,2.0,1.0,320.0,4.0,4.0
100277,4,61.0,0,24.0,1.0,2.0,,9.0,1.0,267.0,4.0,4.0
100279,4,52.0,0,31.0,2.0,4.0,,9.0,1.0,268.0,4.0,4.0
100280,4,52.0,0,31.0,2.0,3.0,,5.0,1.0,268.0,4.0,4.0
100281,4,48.0,0,29.0,1.0,3.0,,2.0,1.0,268.0,3.0,4.0
100282,4,66.0,0,30.0,1.0,2.0,,1.0,1.0,268.0,3.0,4.0
100283,4,82.0,0,31.0,2.0,4.0,,1.0,1.0,269.0,4.0,4.0
100285,4,27.0,0,29.0,2.0,2.0,,8.0,1.0,268.0,4.0,4.0
100290,4,77.0,0,29.0,1.0,3.0,,1.0,1.0,268.0,4.0,4.0
100292,4,72.0,0,30.0,2.0,2.0,,2.0,1.0,268.0,4.0,4.0
100293,4,110.0,0,29.0,2.0,2.0,,2.0,1.0,268.0,4.0,4.0
