age,birth_year,sex,school_type,major_cat,occupation,firm_size,is_regular,income_now,income_now_start,income_first,is_first_job,job_seq,satis_overall,satis_growth,health,life_satis,happy,quit_reason,move_reason,survey,survey_year,changed_job,income_base,income_change_pct,occupation_name,occupation_scheme
,1958.0,2,1,4,,3,2,150.0,100.0,,1.0,,3.0,2.0,3.0,5.0,4.0,,,GOMS,2019,0.0,100.0,50.0,,KECO2018
22.333333333333332,1998.0,1,1,4,3,9,1,160.0,160.0,,1.0,,4.0,5.0,4.0,5.0,2.0,,,GOMS,2019,0.0,160.0,0.0,교육·법률·복지·공공,KECO2018
24.583333333333332,1996.0,1,1,4,9,9,1,450.0,450.0,,1.0,,4.0,3.0,4.0,5.0,5.0,,,GOMS,2019,0.0,450.0,0.0,설치·정비·생산,KECO2018
22.416666666666668,1998.0,1,1,4,3,,1,190.0,190.0,,1.0,,3.0,3.0,4.0,6.0,6.0,,,GOMS,2019,0.0,190.0,0.0,교육·법률·복지·공공,KECO2018
25.5,1995.0,1,1,4,2,5,1,230.0,230.0,,1.0,,3.0,3.0,4.0,5.0,5.0,,,GOMS,2019,0.0,230.0,0.0,연구·공학기술,KECO2018
24.833333333333332,1995.0,1,1,4,2,6,1,210.0,210.0,,1.0,,4.0,2.0,5.0,7.0,7.0,,1,GOMS,2019,0.0,210.0,0.0,연구·공학기술,KECO2018
26.083333333333332,1994.0,1,1,4,2,6,1,260.0,200.0,,1.0,,4.0,5.0,5.0,6.0,5.0,,1,GOMS,2019,0.0,200.0,30.0,연구·공학기술,KECO2018
25.583333333333332,1995.0,1,1,4,9,2,1,250.0,200.0,,1.0,,4.0,4.0,4.0,5.0,4.0,,,GOMS,2019,0.0,200.0,25.0,설치·정비·생산,KECO2018
26.25,1994.0,1,1,4,2,6,1,259.0,259.0,60.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5,,GOMS,2019,1.0,60.0,200.0,연구·공학기술,KECO2018
25.666666666666668,1995.0,1,1,4,2,6,1,400.0,270.0,240.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,4,,GOMS,2019,1.0,240.0,66.66666666666666,연구·공학기술,KECO2018
