year,emp_type,ksic_section,industry,item,unit,value
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,21.2
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,177.8
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,168.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,9.8
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,2.4
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,35421.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,26747.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6242.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,4804.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4457.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,347.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1437.0
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,17247.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,20.3
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,168.8
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,160.6
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,8.1
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,2.6
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,37468.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,28937.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6268.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,4932.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4604.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,328.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1336.0
2022,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,16030.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,20.7
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,173.7
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,165.4
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,8.3
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,2.1
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,37577.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,29268.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6478.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,5123.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4812.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,311.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1356.0
2023,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,16268.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,19.4
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,163.3
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,156.1
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,7.2
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,1.6
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,40744.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,31884.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6607.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,5248.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4955.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,293.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1359.0
2024,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,16310.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로일수,일,19.1
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",총근로시간,시간,160.8
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",소정실근로시간,시간,153.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과근로시간,시간,7.8
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",휴일근로시간,시간,1.9
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당임금총액,원,43512.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",시간당정액급여,원,32781.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월임금총액,천원,6921.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",월급여액,천원,5270.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",정액급여,천원,4987.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",초과급여,천원,282.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여/12개월,천원,1651.0
2025,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",전년도 연간특별급여,천원,19812.0
2020,전체근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",총근로일수,일,22.5
