year,industry,ksic_section,owner_group,item,value
2013,전체,전체,50대,신생,181210.0
2013,전체,전체,50대,소멸,181786.0
2013,전체,전체,50대,신생률,10.5
2013,전체,전체,50대,소멸률,10.6
2014,전체,전체,50대,활동,1794002.0
2014,전체,전체,50대,신생,211134.0
2014,전체,전체,50대,소멸,216538.0
2014,전체,전체,50대,신생률,11.8
2014,전체,전체,50대,소멸률,12.1
2015,전체,전체,50대,활동,1797940.0
2015,전체,전체,50대,신생,205106.0
2015,전체,전체,50대,소멸,177904.0
2015,전체,전체,50대,신생률,11.4
2015,전체,전체,50대,소멸률,9.9
2016,전체,전체,50대,활동,1861455.0
2016,전체,전체,50대,신생,220415.0
2016,전체,전체,50대,소멸,173356.0
2016,전체,전체,50대,신생률,11.8
2016,전체,전체,50대,소멸률,9.3
2017,전체,전체,50대,활동,1934405.0
2017,전체,전체,50대,신생,231088.0
2017,전체,전체,50대,소멸,191491.0
2017,전체,전체,50대,신생률,11.9
2017,전체,전체,50대,소멸률,9.9
2018,전체,전체,50대,활동,2004150.0
2018,전체,전체,50대,신생,237419.0
2018,전체,전체,50대,소멸,190252.0
2018,전체,전체,50대,신생률,11.8
2018,전체,전체,50대,소멸률,9.5
2019,전체,전체,50대,활동,2079941.0
2019,전체,전체,50대,신생,259273.0
2019,전체,전체,50대,소멸,203765.0
2019,전체,전체,50대,신생률,12.5
2019,전체,전체,50대,소멸률,9.8
2020,전체,전체,50대,활동,2135805.0
2020,전체,전체,50대,신생,270464.0
2020,전체,전체,50대,소멸,203429.0
2020,전체,전체,50대,신생률,12.7
2020,전체,전체,50대,소멸률,9.5
2021,전체,전체,50대,활동,2187312.0
2021,전체,전체,50대,신생,257105.0
2021,전체,전체,50대,소멸,192087.0
2021,전체,전체,50대,신생률,11.8
2021,전체,전체,50대,소멸률,8.8
2022,전체,전체,50대,활동,2228439.0
2022,전체,전체,50대,신생,240358.0
2022,전체,전체,50대,소멸,194174.0
2022,전체,전체,50대,신생률,10.8
2022,전체,전체,50대,소멸률,8.7
2023,전체,전체,50대,활동,2267913.0
2023,전체,전체,50대,신생,224868.0
2023,전체,전체,50대,소멸,201037.0
2023,전체,전체,50대,신생률,9.9
2023,전체,전체,50대,소멸률,8.9
2024,전체,전체,50대,활동,2281675.0
2024,전체,전체,50대,신생,223187.0
2024,전체,전체,50대,신생률,9.8
2011,전체,전체,60대,활동,668036.0
2011,전체,전체,60대,신생,56871.0
2011,전체,전체,60대,소멸,66586.0
2011,전체,전체,60대,신생률,8.5
2011,전체,전체,60대,소멸률,10.0
2012,전체,전체,60대,활동,717737.0
2012,전체,전체,60대,신생,57363.0
2012,전체,전체,60대,소멸,82648.0
2012,전체,전체,60대,신생률,8.0
2012,전체,전체,60대,소멸률,11.5
2013,전체,전체,60대,활동,747136.0
2013,전체,전체,60대,신생,57149.0
2013,전체,전체,60대,소멸,75124.0
2013,전체,전체,60대,신생률,7.6
2013,전체,전체,60대,소멸률,10.1
2014,전체,전체,60대,활동,815516.0
2014,전체,전체,60대,신생,73452.0
2014,전체,전체,60대,소멸,121618.0
2014,전체,전체,60대,신생률,9.0
2014,전체,전체,60대,소멸률,14.9
2015,전체,전체,60대,활동,850663.0
2015,전체,전체,60대,신생,74312.0
2015,전체,전체,60대,소멸,84323.0
2015,전체,전체,60대,신생률,8.7
2015,전체,전체,60대,소멸률,9.9
2016,전체,전체,60대,활동,932919.0
2016,전체,전체,60대,신생,88527.0
2016,전체,전체,60대,소멸,84438.0
2016,전체,전체,60대,신생률,9.5
2016,전체,전체,60대,소멸률,9.1
2017,전체,전체,60대,활동,1036285.0
2017,전체,전체,60대,신생,99502.0
2017,전체,전체,60대,소멸,104330.0
2017,전체,전체,60대,신생률,9.6
2017,전체,전체,60대,소멸률,10.1
2018,전체,전체,60대,활동,1128428.0
2018,전체,전체,60대,신생,105165.0
2018,전체,전체,60대,소멸,103365.0
2018,전체,전체,60대,신생률,9.3
2018,전체,전체,60대,소멸률,9.2
2019,전체,전체,60대,활동,1264074.0
2019,전체,전체,60대,신생,131560.0
2019,전체,전체,60대,소멸,122600.0
2019,전체,전체,60대,신생률,10.4
2019,전체,전체,60대,소멸률,9.7
2020,전체,전체,60대,활동,1416778.0
2020,전체,전체,60대,신생,151878.0
2020,전체,전체,60대,소멸,141223.0
2020,전체,전체,60대,신생률,10.7
2020,전체,전체,60대,소멸률,10.0
2021,전체,전체,60대,활동,1548806.0
