year,industry,ksic_section,item,value
2011,도매 및 소매업,G,소멸,195990.0
2011,도매 및 소매업,G,신생률,17.0
2011,도매 및 소매업,G,소멸률,15.0
2012,도매 및 소매업,G,활동,1322333.0
2012,도매 및 소매업,G,신생,218267.0
2012,도매 및 소매업,G,소멸,205369.0
2012,도매 및 소매업,G,신생률,16.5
2012,도매 및 소매업,G,소멸률,15.5
2013,도매 및 소매업,G,활동,1316065.0
2013,도매 및 소매업,G,신생,206776.0
2013,도매 및 소매업,G,소멸,192343.0
2013,도매 및 소매업,G,신생률,15.7
2013,도매 및 소매업,G,소멸률,14.6
2014,도매 및 소매업,G,활동,1338209.0
2014,도매 및 소매업,G,신생,217103.0
2014,도매 및 소매업,G,소멸,185937.0
2014,도매 및 소매업,G,신생률,16.2
2014,도매 및 소매업,G,소멸률,13.9
2015,도매 및 소매업,G,활동,1347150.0
2015,도매 및 소매업,G,신생,202344.0
2015,도매 및 소매업,G,소멸,174511.0
2015,도매 및 소매업,G,신생률,15.0
2015,도매 및 소매업,G,소멸률,13.0
2016,도매 및 소매업,G,활동,1377429.0
2016,도매 및 소매업,G,신생,209550.0
2016,도매 및 소매업,G,소멸,166169.0
2016,도매 및 소매업,G,신생률,15.2
2016,도매 및 소매업,G,소멸률,12.1
2017,도매 및 소매업,G,활동,1414536.0
2017,도매 및 소매업,G,신생,209918.0
2017,도매 및 소매업,G,소멸,177686.0
2017,도매 및 소매업,G,신생률,14.8
2017,도매 및 소매업,G,소멸률,12.6
2018,도매 및 소매업,G,활동,1420437.0
2018,도매 및 소매업,G,신생,192384.0
2018,도매 및 소매업,G,소멸,175295.0
2018,도매 및 소매업,G,신생률,13.5
2018,도매 및 소매업,G,소멸률,12.3
2019,도매 및 소매업,G,활동,1437369.0
2019,도매 및 소매업,G,신생,202772.0
2019,도매 및 소매업,G,소멸,172302.0
2019,도매 및 소매업,G,신생률,14.1
2019,도매 및 소매업,G,소멸률,12.0
2020,도매 및 소매업,G,활동,1483304.0
2020,도매 및 소매업,G,신생,225866.0
2020,도매 및 소매업,G,소멸,178294.0
2020,도매 및 소매업,G,신생률,15.2
