year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2012,전체근로자,50~59세,15886.0,175.4,269.1,236.4,221.1,15.3
2012,전체근로자,60세이상,11246.0,169.8,177.7,168.5,163.3,5.2
2012,전체근로자,전체,14967.0,173.7,252.7,221.6,207.5,14.1
2012,전체근로자(특수형태포함),29세이하,,,178.0,161.5,150.2,11.3
2012,전체근로자(특수형태포함),30~39세,,,268.2,234.0,220.0,14.0
2012,전체근로자(특수형태포함),40~49세,,,292.3,254.2,239.0,15.3
2012,전체근로자(특수형태포함),50~59세,,,267.7,236.6,222.2,14.5
2012,전체근로자(특수형태포함),60세이상,,,177.1,168.1,163.1,5.0
2012,전체근로자(특수형태포함),전체,,,251.1,221.5,208.1,13.4
2012,정규근로자,29세이하,11863.0,183.3,211.7,187.6,173.4,14.2
2012,정규근로자,30~39세,16624.0,181.5,291.2,250.1,234.2,15.9
2012,정규근로자,40~49세,18855.0,185.4,333.7,283.5,264.0,19.5
2012,정규근로자,50~59세,17686.0,189.0,317.2,272.8,253.1,19.7
2012,정규근로자,60세이상,13125.0,186.8,231.0,214.9,207.8,7.2
2012,정규근로자,전체,16403.0,184.4,290.3,250.2,233.4,16.8
2013,비정규근로자,29세이하,8646.0,127.6,110.3,108.2,101.6,6.6
2013,비정규근로자,30~39세,13423.0,141.4,168.7,163.5,154.5,9.0
2013,비정규근로자,40~49세,12876.0,133.1,154.0,150.6,145.1,5.4
2013,비정규근로자,50~59세,12415.0,134.2,153.8,150.3,145.4,4.8
2013,비정규근로자,60세이상,9946.0,143.0,128.8,126.7,123.0,3.7
2013,비정규근로자,전체,11259.0,134.4,140.4,137.2,131.2,6.0
2013,비정규직근로자(특수형태포함),29세이하,,,115.5,113.5,107.3,6.2
2013,비정규직근로자(특수형태포함),30~39세,,,188.8,184.8,178.1,6.6
2013,비정규직근로자(특수형태포함),40~49세,,,199.1,196.3,192.5,3.8
2013,비정규직근로자(특수형태포함),50~59세,,,185.5,182.4,178.6,3.9
2013,비정규직근로자(특수형태포함),60세이상,,,130.9,128.9,125.6,3.3
2013,비정규직근로자(특수형태포함),전체,,,165.4,162.6,157.8,4.8
2013,전체근로자,29세이하,11292.0,160.3,181.5,164.2,151.8,12.4
2013,전체근로자,30~39세,16903.0,170.9,278.0,241.0,225.2,15.8
2013,전체근로자,40~49세,18667.0,170.2,305.3,262.5,245.6,16.9
2013,전체근로자,50~59세,17552.0,169.7,286.4,249.3,232.7,16.6
2013,전체근로자,60세이상,12144.0,163.1,187.1,177.3,172.0,5.3
2013,전체근로자,전체,16067.0,167.9,261.7,228.8,214.0,14.9
2013,전체근로자(특수형태포함),29세이하,,,181.7,164.7,152.6,12.1
2013,전체근로자(특수형태포함),30~39세,,,276.4,241.1,225.9,15.1
2013,전체근로자(특수형태포함),40~49세,,,305.2,265.4,249.8,15.7
2013,전체근로자(특수형태포함),50~59세,,,287.8,252.9,237.3,15.6
2013,전체근로자(특수형태포함),60세이상,,,185.1,175.8,170.7,5.0
2013,전체근로자(특수형태포함),전체,,,262.1,231.0,216.9,14.1
2013,정규근로자,29세이하,12628.0,176.9,217.5,192.4,177.1,15.3
2013,정규근로자,30~39세,17430.0,175.3,294.5,252.7,235.8,16.9
2013,정규근로자,40~49세,19970.0,178.5,339.4,287.7,268.2,19.5
2013,정규근로자,50~59세,19345.0,182.1,332.7,283.9,263.1,20.7
2013,정규근로자,60세이상,14142.0,181.5,240.1,223.3,216.5,6.8
2013,정규근로자,전체,17525.0,178.0,298.5,256.6,239.0,17.6
2014,비정규근로자,29세이하,8776.0,122.0,106.1,104.6,97.3,7.3
2014,비정규근로자,30~39세,13489.0,137.6,161.2,157.2,146.4,10.7
2014,비정규근로자,40~49세,13270.0,125.4,146.6,143.1,136.3,6.8
2014,비정규근로자,50~59세,12533.0,127.3,143.5,140.1,133.7,6.4
2014,비정규근로자,60세이상,10135.0,135.9,119.6,117.9,113.5,4.4
2014,비정규근로자,전체,11463.0,128.3,133.3,130.5,123.4,7.1
2014,비정규직근로자(특수형태포함),29세이하,,,111.5,110.0,103.1,6.9
2014,비정규직근로자(특수형태포함),30~39세,,,181.6,178.5,170.2,8.3
2014,비정규직근로자(특수형태포함),40~49세,,,180.5,177.9,172.8,5.1
2014,비정규직근로자(특수형태포함),50~59세,,,165.9,163.0,157.7,5.3
2014,비정규직근로자(특수형태포함),60세이상,,,122.6,121.0,117.0,4.0
2014,비정규직근로자(특수형태포함),전체,,,153.1,150.7,144.7,6.0
2014,전체근로자,29세이하,11859.0,158.3,190.1,170.0,156.3,13.6
2014,전체근로자,30~39세,17978.0,170.0,296.1,253.7,236.7,17.1
2014,전체근로자,40~49세,19511.0,167.6,316.9,271.8,254.9,16.9
2014,전체근로자,50~59세,17648.0,165.8,282.8,249.2,233.5,15.6
2014,전체근로자,60세이상,12307.0,158.6,183.4,173.9,167.9,6.0
2014,전체근로자,전체,16701.0,165.5,270.0,235.3,220.0,15.3
2014,전체근로자(특수형태포함),29세이하,,,190.2,170.5,157.2,13.3
2014,전체근로자(특수형태포함),30~39세,,,294.2,253.6,237.2,16.4
2014,전체근로자(특수형태포함),40~49세,,,314.7,272.3,256.4,15.9
2014,전체근로자(특수형태포함),50~59세,,,282.7,250.9,236.1,14.8
2014,전체근로자(특수형태포함),60세이상,,,182.2,173.1,167.3,5.7
2014,전체근로자(특수형태포함),전체,,,269.5,236.3,221.7,14.6
2014,정규근로자,29세이하,13460.0,177.1,233.6,203.9,187.0,16.9
2014,정규근로자,30~39세,18724.0,175.4,318.5,269.8,251.7,18.1
2014,정규근로자,40~49세,21011.0,177.8,357.9,302.7,283.4,19.4
2014,정규근로자,50~59세,19714.0,181.4,339.1,293.2,273.9,19.3
2014,정규근로자,60세이상,14438.0,180.9,246.0,228.8,221.3,7.6
2014,정규근로자,전체,18426.0,177.7,315.1,269.8,251.8,18.0
2015,비정규근로자,29세이하,8660.0,122.8,107.7,105.9,98.8,7.1
2015,비정규근로자,30~39세,13521.0,143.4,169.0,164.1,153.4,10.7
2015,비정규근로자,40~49세,13519.0,128.5,151.4,147.4,141.7,5.7
2015,비정규근로자,50~59세,12464.0,131.3,146.8,143.4,138.3,5.1
2015,비정규근로자,60세이상,10190.0,139.1,125.4,123.7,119.9,3.9
2015,비정규근로자,전체,11452.0,131.6,137.2,134.2,127.8,6.4
2015,비정규직근로자(특수형태포함),29세이하,,,113.0,111.3,104.7,6.6
2015,비정규직근로자(특수형태포함),30~39세,,,185.1,181.1,172.9,8.3
2015,비정규직근로자(특수형태포함),40~49세,,,186.8,183.7,179.4,4.3
2015,비정규직근로자(특수형태포함),50~59세,,,170.3,167.3,163.1,4.2
2015,비정규직근로자(특수형태포함),60세이상,,,131.8,130.2,126.6,3.5
2015,비정규직근로자(특수형태포함),전체,,,157.0,154.3,149.0,5.4
2015,전체근로자,29세이하,11134.0,164.6,186.9,171.8,158.5,13.3
2015,전체근로자,30~39세,16892.0,180.1,296.3,258.7,241.2,17.5
2015,전체근로자,40~49세,18860.0,176.4,326.4,280.7,263.4,17.2
2015,전체근로자,50~59세,17094.0,173.2,290.8,257.2,241.7,15.4
2015,전체근로자,60세이상,12099.0,163.9,190.8,181.2,175.4,5.8
2015,전체근로자,전체,15978.0,173.5,274.0,241.5,226.2,15.3
2015,전체근로자(특수형태포함),29세이하,,,187.0,172.3,159.3,13.0
2015,전체근로자(특수형태포함),30~39세,,,294.1,258.0,241.1,16.8
2015,전체근로자(특수형태포함),40~49세,,,324.3,281.2,265.0,16.2
2015,전체근로자(특수형태포함),50~59세,,,290.5,258.7,244.1,14.6
2015,전체근로자(특수형태포함),60세이상,,,191.2,182.0,176.5,5.5
2015,전체근로자(특수형태포함),전체,,,273.4,242.4,227.8,14.6
2015,정규근로자,29세이하,12452.0,186.8,229.1,207.0,190.4,16.6
2015,정규근로자,30~39세,17457.0,186.2,317.7,274.6,255.9,18.7
2015,정규근로자,40~49세,20059.0,187.2,365.7,310.5,290.7,19.8
2015,정규근로자,50~59세,18910.0,189.6,347.3,301.8,282.3,19.5
2015,정규근로자,60세이상,14038.0,189.1,257.1,239.5,231.8,7.8
2015,정규근로자,전체,17480.0,187.4,319.4,277.1,258.9,18.2
2016,비정규근로자,29세이하,9161.0,122.8,114.4,112.6,104.7,7.8
2016,비정규근로자,30~39세,13860.0,144.0,179.8,173.1,161.4,11.7
2016,비정규근로자,40~49세,14217.0,126.4,160.9,155.4,147.9,7.5
2016,비정규근로자,50~59세,13362.0,125.5,152.5,149.4,143.4,6.0
2016,비정규근로자,60세이상,10922.0,134.5,131.9,130.1,125.9,4.2
2016,비정규근로자,전체,12076.0,129.3,144.5,141.1,133.8,7.3
2016,비정규직근로자(특수형태포함),29세이하,,,119.0,117.3,110.0,7.3
2016,비정규직근로자(특수형태포함),30~39세,,,194.0,188.8,179.8,9.0
2016,비정규직근로자(특수형태포함),40~49세,,,195.7,191.6,186.1,5.4
2016,비정규직근로자(특수형태포함),50~59세,,,178.2,175.6,170.7,4.9
2016,비정규직근로자(특수형태포함),60세이상,,,138.5,136.8,133.0,3.8
2016,비정규직근로자(특수형태포함),전체,,,164.3,161.3,155.3,6.0
2016,전체근로자,29세이하,11674.0,163.1,194.2,178.6,165.7,12.8
2016,전체근로자,30~39세,17749.0,177.8,309.4,267.1,249.9,17.2
2016,전체근로자,40~49세,19575.0,174.7,335.7,289.9,272.6,17.2
2016,전체근로자,50~59세,17860.0,170.4,299.3,265.9,250.2,15.8
2016,전체근로자,60세이상,12874.0,159.6,198.5,189.5,183.5,5.9
2016,전체근로자,전체,16709.0,171.1,283.3,249.8,234.7,15.1
2016,전체근로자(특수형태포함),29세이하,,,193.9,178.6,166.1,12.5
2016,전체근로자(특수형태포함),30~39세,,,306.7,266.1,249.5,16.6
2016,전체근로자(특수형태포함),40~49세,,,332.8,289.7,273.5,16.2
2016,전체근로자(특수형태포함),50~59세,,,298.7,267.3,252.5,14.8
2016,전체근로자(특수형태포함),60세이상,,,198.8,190.2,184.5,5.7
2016,전체근로자(특수형태포함),전체,,,282.3,250.3,235.9,14.4
2016,정규근로자,29세이하,12975.0,183.9,235.5,212.7,197.3,15.4
2016,정규근로자,30~39세,18382.0,183.3,330.5,282.4,264.3,18.1
2016,정규근로자,40~49세,20682.0,184.7,371.8,317.7,298.4,19.2
